[2025-01-02 19:09:03.406] [info]  DiscordSplash.signalReady
[2025-01-02 19:09:03.415] [info]  DiscordSplash.onStateUpdate: {"status":"installing-updates","current":1,"total":6}
[2025-01-02 19:09:03.415] [info]  Splash.onStateUpdate: {"status":"installing-updates","current":1,"total":6}
[2025-01-02 19:09:03.416] [info]  DiscordSplash.onStateUpdate: {"status":"installing-updates","current":2,"total":6}
[2025-01-02 19:09:03.417] [info]  Splash.onStateUpdate: {"status":"installing-updates","current":2,"total":6}
[2025-01-02 19:09:03.436] [info]  DiscordSplash.onStateUpdate: {"status":"installing-updates","current":3,"total":6}
[2025-01-02 19:09:03.436] [info]  Splash.onStateUpdate: {"status":"installing-updates","current":3,"total":6}
[2025-01-02 19:09:03.437] [info]  DiscordSplash.onStateUpdate: {"status":"installing-updates","current":4,"total":6}
[2025-01-02 19:09:03.437] [info]  Splash.onStateUpdate: {"status":"installing-updates","current":4,"total":6}
[2025-01-02 19:09:03.437] [info]  DiscordSplash.onStateUpdate: {"status":"installing-updates","current":5,"total":6}
[2025-01-02 19:09:03.438] [info]  Splash.onStateUpdate: {"status":"installing-updates","current":5,"total":6}
[2025-01-02 19:09:03.438] [info]  DiscordSplash.onStateUpdate: {"status":"installing-updates","current":6,"total":6}
[2025-01-02 19:09:03.438] [info]  Splash.onStateUpdate: {"status":"installing-updates","current":6,"total":6}
[2025-01-02 19:09:03.438] [info]  DiscordSplash.onStateUpdate: {"status":"checking-for-updates","current":6,"total":6}
[2025-01-02 19:09:03.438] [info]  Splash.onStateUpdate: {"status":"checking-for-updates","current":6,"total":6}
[2025-01-02 19:09:04.327] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6}
[2025-01-02 19:09:04.327] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6}
[2025-01-02 19:09:04.405] [info]  Splash.updateCountdownSeconds: undefined
[2025-01-02 19:09:05.405] [info]  Splash.updateCountdownSeconds: undefined
[2025-01-02 19:09:05.662] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":1}
[2025-01-02 19:09:05.662] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":1}
